Date,EWP Returns,EWP VaR(t-1),EWP ES(t-1),MCP Returns,MCP VaR(t-1),MCP ES(t-1),RP Returns,RP VaR(t-1),RP ES(t-1),RAP Returns,RAP VaR(t-1),RAP ES(t-1)
09/06/2018,0.011730350242190338,0.10043974288434633,0.10043974288434633,0.010664112592256273,0.10118836646538983,0.10118836646538985,0.016360938799007626,0.14248220602081837,0.1424822060208184,0.00400310510456383,0.05559827313787281,0.05559827313787281
10/06/2018,0.09510575805550803,0.09682781177565677,0.09818536511198576,0.10209772619165884,0.09256107813518023,0.09582422789454505,0.11425176021881278,0.1288626184317096,0.13421765963426863,0.05779620911184362,0.05569149214961203,0.05569149214961203
11/06/2018,-0.02851052739171406,0.10465172360231725,0.10465172360231728,-0.01963894629908826,0.10977212269600842,0.10977212269600838,-0.0312982100432043,0.14400300435266394,0.1502070562971224,-0.014841507703473414,0.05979097569723056,0.06106255402191044
12/06/2018,0.04597713046677189,0.10851345732024999,0.10851345732024999,0.050899268384087114,0.11390684272738252,0.11390684272738255,0.06460822697303008,0.15449212306330715,0.15449212306330712,0.02616837800008362,0.060316823756420744,0.06177443312293151
13/06/2018,0.03344054173133248,0.10399688745546436,0.10399688745546434,0.03540528502119445,0.10658976834329917,0.10925624916542725,0.039776580435344336,0.15320269132763556,0.1532026913276356,0.017661196814761224,0.060561732631471424,0.06056173263147145
14/06/2018,-0.04759552275897295,0.09868077914657007,0.10016358860652619,-0.058011510565719585,0.11053823954312837,0.1105382395431284,-0.059527780521766854,0.15052480067932691,0.15052480067932691,-0.029282650066817555,0.060553064278135615,0.06055306427813559
15/06/2018,0.028786194643097063,0.10701974592703709,0.10701974592703706,0.036249576526487824,0.10570902300688899,0.10765302308783724,0.041542526480362454,0.15167144334480043,0.15167144334480046,0.016028879657361977,0.0599997090561531,0.059999709056153094
16/06/2018,-0.012642969856285083,0.09893565417755448,0.10022562626468336,-0.014925588706688099,0.10727650315520418,0.10968705431878262,-0.007092109270150249,0.12507198159076366,0.1294519303143608,-0.007509376470356891,0.05798683512884033,0.059672019556702705
17/06/2018,-0.003628293270457973,0.10095726526398496,0.10095726526398492,0.0026852932558128293,0.11232493361797577,0.11232493361797571,0.001942608372662959,0.12258879606141483,0.12780659267709976,-0.0012320666785595885,0.05714895523806263,0.05894406634348865
18/06/2018,-0.02052270716549027,0.09772394342512696,0.09894638949665074,-0.032388784874387955,0.10622315920816287,0.10854633518389398,-0.01849389246968386,0.12114799439949409,0.1265814715021802,-0.014562780615440973,0.06006820539202842,0.0600682053920284
19/06/2018,-0.011656725091154035,0.1002641909186257,0.10026419091862572,-0.013212985580617311,0.10884665104293814,0.10884665104293817,-0.01603144913954709,0.13090889353696183,0.13090889353696178,-0.005217665289412101,0.05901822648672023,0.05901822648672024
20/06/2018,0.015274611530055672,0.10054561932866674,0.10054561932866671,0.004053625948083089,0.10505161751063428,0.10713763317709267,0.02523509904418944,0.13025410918041694,0.13025410918041697,0.004789967895940705,0.05635810811105904,0.058050317317651694
21/06/2018,-0.0017313018106813129,0.09381146588663491,0.09381146588663491,0.0065380664092879424,0.10420047390973701,0.10646258879077856,0.00616004619136576,0.10454255901530997,0.10468584057142075,1.5332832779525957e-05,0.05834071620935688,0.05834071620935689
22/06/2018,0.08388394782437215,0.09277158260504084,0.09277158260504081,0.0972228906487201,0.10677962010810303,0.10677962010810303,0.10229692264318686,0.10149095290601626,0.10197504645041817,0.04918696636602414,0.057567764267854836,0.05756776426785483
23/06/2018,-0.0037818118930250133,0.09069395520612597,0.09095301243877423,-0.011676230634386135,0.10383446095883338,0.10383446095883336,0.003622396310038635,0.09894627040293745,0.09923279558980577,-0.004731422160590265,0.0567594987402308,0.0567594987402308
24/06/2018,0.02789622984797955,0.09657914579664219,0.09657914579664222,0.01359977266310018,0.1234486723965336,0.12344867239653355,0.03674498359402825,0.10389545017090657,0.10392183933006197,0.008935639432282467,0.06450426322774094,0.06450426322774096
25/06/2018,-0.012477739584214657,0.09578651949487363,0.09598129942591473,-0.011093662937929788,0.11532119426054181,0.11954950655919483,-0.01665871269558696,0.1019228781339645,0.10192287813396447,-0.00450566017598338,0.06582145016869201,0.06582145016869201
26/06/2018,0.04328196159404907,0.09609163986236713,0.09609163986236713,0.036749100134536264,0.12397336211892666,0.12397336211892669,0.05848724895877732,0.10090414263053704,0.10090414263053703,0.020873018831840645,0.06010285492457155,0.06282462690415425
27/06/2018,-0.011197269655825291,0.09472015431532954,0.09472015431532953,-0.012758849141445502,0.12102642969368467,0.12102642969368466,-0.014220885266177095,0.10023449914760389,0.10023449914760386,-0.005071184789411843,0.06352726823701453,0.06352726823701452
28/06/2018,0.032030915813779696,0.10194399522334413,0.10268261486503193,0.03953405268077292,0.12365620930436726,0.12365620930436728,0.04699270536681133,0.12426638671601563,0.12426638671601566,0.019440283850533358,0.06536143897287869,0.0653614389728787
29/06/2018,-0.03048723635394428,0.09840875245497374,0.09840875245497374,-0.04348000600825013,0.11276257569803982,0.11647033941848133,-0.03667160180472887,0.11264088009145029,0.1140862886140648,-0.024146267607960823,0.06352481898677899,0.06352481898677899
30/06/2018,-0.03401245173429787,0.09741771190001025,0.09741771190001025,-0.03402043866905148,0.11177403460258664,0.11177403460258661,-0.059627961626402146,0.11261596674787626,0.11376062994400894,-0.0154191271137358,0.06234470055334846,0.062344700553348474
