Date,EWP Returns,EWP VaR(t-1),EWP ES(t-1),MCP Returns,MCP VaR(t-1),MCP ES(t-1),RP Returns,RP VaR(t-1),RP ES(t-1),RAP Returns,RAP VaR(t-1),RAP ES(t-1)
09/06/2018,0.011730350242190338,0.13959602512548955,0.184599756229063,0.010664112592256273,0.12018470580735578,0.15418190769390994,0.016360938799007626,0.24161350274233456,0.24161350274233456,0.00400310510456383,0.06651704179235832,0.0871169191518806
10/06/2018,0.09510575805550803,0.13928603654060795,0.184599756229063,0.10209772619165884,0.1199146960368043,0.15418190769390994,0.11425176021881278,0.24107949208052376,0.24107949208052376,0.05779620911184362,0.06637043317877477,0.0871169191518806
11/06/2018,-0.02851052739171406,0.13948350544223842,0.184599756229063,-0.01963894629908826,0.12032754439869214,0.15418190769390994,-0.0312982100432043,0.24087968528547601,0.24087968528547601,-0.014841507703473414,0.06663208459773973,0.0871169191518806
12/06/2018,0.04597713046677189,0.1393397818044555,0.184599756229063,0.050899268384087114,0.12017852579810652,0.15418190769390994,0.06460822697303008,0.24051772895105597,0.24051772895105597,0.02616837800008362,0.06657652684662786,0.0871169191518806
13/06/2018,0.03344054173133248,0.13910126242678103,0.184599756229063,0.03540528502119445,0.12001511049421155,0.15418190769390994,0.039776580435344336,0.24004042205552623,0.24004042205552623,0.017661196814761224,0.06647835146133743,0.0871169191518806
14/06/2018,-0.04759552275897295,0.13881654830585827,0.16174255414520294,-0.058011510565719585,0.11977645475565231,0.15418190769390994,-0.059527780521766854,0.23951323072183514,0.23951323072183514,-0.029282650066817555,0.0663428604254304,0.0871169191518806
15/06/2018,0.028786194643097063,0.13884648365868515,0.16174255414520294,0.036249576526487824,0.12002496170290257,0.15418190769390994,0.041542526480362454,0.23935826789951029,0.23935826789951029,0.016028879657361977,0.06643856296478079,0.0871169191518806
16/06/2018,-0.012642969856285083,0.13855403803260535,0.16174255414520294,-0.014925588706688099,0.11979139970608306,0.15418190769390994,-0.007092109270150249,0.23883860677021404,0.23883860677021404,-0.007509376470356891,0.06630006131598612,0.0871169191518806
17/06/2018,-0.003628293270457973,0.13832136863744726,0.16174255414520294,0.0026852932558128293,0.11961816986172887,0.15418190769390994,0.001942608372662959,0.23837918132759112,0.23837918132759112,-0.0012320666785595885,0.06619829208801681,0.0871169191518806
18/06/2018,-0.02052270716549027,0.1380540507014047,0.16174255414520294,-0.032388784874387955,0.11937193796222455,0.15418190769390994,-0.01849389246968386,0.23789529795154976,0.23789529795154976,-0.014562780615440973,0.06606962189699414,0.0871169191518806
19/06/2018,-0.011656725091154035,0.1378660793232291,0.16174255414520294,-0.013212985580617311,0.11932936916578224,0.15418190769390994,-0.01603144913954709,0.237486282958365,0.237486282958365,-0.005217665289412101,0.06601528780737952,0.0871169191518806
20/06/2018,0.015274611530055672,0.1376327505897945,0.16174255414520294,0.004053625948083089,0.11914904953227651,0.15418190769390994,0.02523509904418944,0.23706889566568026,0.23706889566568026,0.004789967895940705,0.06590364876392275,0.0871169191518806
21/06/2018,-0.0017313018106813129,0.13733731235653487,0.16174255414520294,0.0065380664092879424,0.11890319217062781,0.15418190769390994,0.00616004619136576,0.23655859706499008,0.23655859706499008,1.5332832779525957e-05,0.06576317801842668,0.0871169191518806
22/06/2018,0.08388394782437215,0.13707018927641562,0.16174255414520294,0.0972228906487201,0.11865364081488056,0.15418190769390994,0.10229692264318686,0.23607578674292154,0.23607578674292154,0.04918696636602414,0.06563345395661344,0.0871169191518806
23/06/2018,-0.0037818118930250133,0.13713391604190767,0.16174255414520294,-0.011676230634386135,0.11897392110656943,0.15418190769390994,0.003622396310038635,0.2358099235983318,0.2358099235983318,-0.004731422160590265,0.06575790771932108,0.0871169191518806
24/06/2018,0.02789622984797955,0.136875967309813,0.16174255414520294,0.01359977266310018,0.11879036587793246,0.15418190769390994,0.03674498359402825,0.23533820883204898,0.23533820883204898,0.008935639432282467,0.06564685852057103,0.0871169191518806
25/06/2018,-0.012477739584214657,0.13659471835381307,0.16174255414520294,-0.011093662937929788,0.11853486269015126,0.15418190769390994,-0.01665871269558696,0.23483892050791405,0.23483892050791405,-0.00450566017598338,0.06550603272592376,0.0871169191518806
26/06/2018,0.04328196159404907,0.13637430521983446,0.16174255414520294,0.036749100134536264,0.11835069982985172,0.15418190769390994,0.05848724895877732,0.23444057011756303,0.23444057011756303,0.020873018831840645,0.06539539412020026,0.0871169191518806
27/06/2018,-0.011197269655825291,0.13614036724682851,0.16174255414520294,-0.012758849141445502,0.11813063890691286,0.15418190769390994,-0.014220885266177095,0.23398073606132355,0.23398073606132355,-0.005071184789411843,0.06527886802681519,0.07986155463142958
28/06/2018,0.032030915813779696,0.13591711306559998,0.16174255414520294,0.03953405268077292,0.11795759120929639,0.15418190769390994,0.04699270536681133,0.2335774279671058,0.2335774279671058,0.019440283850533358,0.06517219480820267,0.07986155463142958
29/06/2018,-0.03048723635394428,0.13564951553541335,0.16174255414520294,-0.04348000600825013,0.11774983169158695,0.15418190769390994,-0.03667160180472887,0.23309904254518654,0.23309904254518654,-0.024146267607960823,0.06505161104674533,0.07986155463142958
30/06/2018,-0.03401245173429787,0.13554316945332637,0.16174255414520294,-0.03402043866905148,0.11782431569881413,0.15418190769390994,-0.059627961626402146,0.23281379870881724,0.23281379870881724,-0.0154191271137358,0.06509080938796938,0.07986155463142958
