Date;Open;High;Low;Close;Adj Close;Volume
01/10/2017;1.284180;1.528950;1.259900;1.526530;1.526530;9043600
02/10/2017;1.526620;1.982870;1.513440;1.964670;1.964670;19367700
03/10/2017;1.967830;2.032950;1.671650;1.820700;1.820700;14411500
04/10/2017;1.851500;1.857470;1.517660;1.601480;1.601480;7227750
05/10/2017;1.634990;1.735190;1.416950;1.678490;1.678490;7503500
06/10/2017;1.677310;1.713580;1.534240;1.579910;1.579910;6076260
07/10/2017;1.605260;1.605260;1.500580;1.584250;1.584250;5578780
08/10/2017;1.576180;1.604080;1.217230;1.217230;1.217230;4515300
09/10/2017;1.207710;1.577430;1.207710;1.403780;1.403780;9667100
10/10/2017;1.431070;1.469110;1.342870;1.393360;1.393360;6912770
11/10/2017;1.399440;1.456160;1.377990;1.433730;1.433730;6123140
12/10/2017;1.429960;1.440190;1.282640;1.343760;1.343760;5275850
13/10/2017;1.336510;1.511660;1.183490;1.435480;1.435480;5705760
14/10/2017;1.469320;1.538190;1.407020;1.538190;1.538190;3355060
15/10/2017;1.495130;1.679410;1.407750;1.558440;1.558440;5987930
16/10/2017;1.555990;1.599920;1.390710;1.440700;1.440700;2960330
17/10/2017;1.437680;1.473550;1.356010;1.389950;1.389950;1744390
18/10/2017;1.393510;1.420860;1.208370;1.327560;1.327560;2311140
19/10/2017;1.328680;1.353610;1.249180;1.284610;1.284610;1791220
20/10/2017;1.283260;1.372810;1.219270;1.241920;1.241920;1703230
21/10/2017;1.237350;1.269350;1.170260;1.254050;1.254050;1331640
22/10/2017;1.255300;1.299450;1.183470;1.213770;1.213770;1631220
23/10/2017;1.231360;1.278100;1.096050;1.183730;1.183730;2355560
24/10/2017;1.176930;1.379060;1.136280;1.248430;1.248430;4833390
25/10/2017;1.243410;1.269270;1.171480;1.252780;1.252780;2288360
26/10/2017;1.260970;1.260970;1.098160;1.208600;1.208600;2400010
27/10/2017;1.208750;1.217280;1.107110;1.174180;1.174180;2067650
28/10/2017;1.180920;1.204290;1.139810;1.152570;1.152570;1495260
29/10/2017;1.178370;1.260730;1.158850;1.241230;1.241230;1969690
30/10/2017;1.233360;1.358590;1.203470;1.312270;1.312270;2437230
31/10/2017;1.335950;1.410380;1.271140;1.312890;1.312890;3397150
01/11/2017;1.335160;1.335160;1.218050;1.261540;1.261540;2118920
02/11/2017;1.260250;1.372440;1.195620;1.299630;1.299630;3550520
03/11/2017;1.294560;1.480370;1.294560;1.459220;1.459220;3201070
04/11/2017;1.455980;1.699930;1.398930;1.637200;1.637200;4685320
05/11/2017;1.637190;1.637190;1.455240;1.521660;1.521660;2681150
06/11/2017;1.528790;1.665040;1.480680;1.569790;1.569790;5042750
07/11/2017;1.569090;1.818190;1.551210;1.806440;1.806440;9469500
08/11/2017;1.799070;2.055180;1.777470;2.031020;2.031020;18796200
09/11/2017;2.053140;2.174230;1.893940;1.990770;1.990770;19192200
